Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_SMA(C,10)","Exit_SMA(C,10)","Entry_SMA(C,20)","Exit_SMA(C,20)"
760,32,41,13.12,12.83,,,-220.39999999999935,-0.022103658536585247,32,41,9,,13.290000000000001,12.991,13.1815,13.128
-757,41,67,12.83,10.98,,,1400.4499999999998,0.1441932969602494,41,67,26,,12.991,10.918000000000001,13.128,10.871
1009,67,70,10.98,10.98,,,0.0,0.0,67,70,3,,10.918000000000001,10.927000000000001,10.871,10.925999999999998
-1005,70,71,10.98,11.42,,,-442.1999999999995,-0.04007285974499086,70,71,1,,10.927000000000001,10.984,10.925999999999998,10.991
923,71,72,11.42,11.49,,,64.61000000000027,0.0061295971978985175,71,72,1,,10.984,11.029,10.991,11.022
-920,72,73,11.49,11.35,,,128.80000000000052,0.01218450826805928,72,73,1,,11.029,11.078,11.022,11.040000000000001
939,73,91,11.35,11.45,,,93.89999999999966,0.008810572687224738,73,91,18,,11.078,11.553999999999998,11.040000000000001,11.641000000000002
-935,91,103,11.45,11.98,,,-495.5500000000011,-0.046288209606986985,91,103,12,,11.553999999999998,11.711,11.641000000000002,11.543000000000001
849,103,112,11.98,11.08,,,-764.1000000000003,-0.07512520868113526,103,112,9,,11.711,11.339,11.543000000000001,11.4825
-845,112,121,11.08,14.64,,,-3008.2000000000003,-0.3212996389891698,112,121,9,,11.339,11.9,11.4825,11.6685
432,121,135,14.64,12.01,,,-1136.1600000000003,-0.17964480874316946,121,135,14,,11.9,12.502,11.6685,12.711
-430,135,149,12.01,12.44,,,-184.89999999999986,-0.035803497085761915,135,149,14,,12.502,12.35,12.711,12.243500000000001
399,149,186,12.44,14.38,,,774.0600000000005,0.1559485530546625,149,186,37,,12.35,13.779,12.243500000000001,13.7955
-397,186,188,14.38,14.9,,,-206.43999999999983,-0.03616133518776077,186,188,2,,13.779,14.069999999999999,13.7955,13.950999999999999
368,188,211,14.9,16.12,,,448.96000000000026,0.08187919463087256,188,211,23,,14.069999999999999,16.1,13.950999999999999,16.1305
-366,211,213,16.12,17.17,,,-384.30000000000024,-0.06513647642679898,211,213,2,,16.1,16.337,16.1305,16.2315
320,213,230,17.17,17.14,,,-9.600000000000364,-0.0017472335468842193,213,230,17,,16.337,17.299,16.2315,17.4795
-319,230,246,17.14,17.86,,,-229.67999999999964,-0.04200700116686118,230,246,16,,17.299,17.249000000000002,17.4795,17.059
292,246,278,17.86,19.88,,,589.8399999999999,0.11310190369540862,246,278,32,,17.249000000000002,21.134,17.059,21.66
-291,278,303,19.88,19.89,,,-2.910000000000455,-0.0005030181086520535,278,303,25,,21.134,19.744,21.66,19.6525
289,303,311,19.89,18.7,,,-343.91000000000037,-0.05982905982905984,303,311,8,,19.744,19.384999999999998,19.6525,19.506500000000003
-288,311,318,18.7,21.29,,,-745.92,-0.13850267379679138,311,318,7,,19.384999999999998,20.269,19.506500000000003,20.0485
217,318,350,21.29,21.74,,,97.64999999999985,0.0211366838891498,318,350,32,,20.269,22.493,20.0485,22.577
-216,350,394,21.74,18.37,,,727.9199999999994,0.15501379944802196,350,394,44,,22.493,17.655,22.577,17.427
294,394,405,18.37,16.0,,,-696.7800000000003,-0.1290146978769734,394,405,11,,17.655,17.303,17.427,17.6195
-293,405,416,16.0,17.82,,,-533.2600000000001,-0.11375000000000002,405,416,11,,17.303,17.791,17.6195,17.45
232,416,423,17.82,16.38,,,-334.08000000000027,-0.08080808080808088,416,423,7,,17.791,16.84,17.45,17.121
-231,423,432,16.38,17.67,,,-297.99000000000063,-0.07875457875457892,423,432,9,,16.84,17.598000000000003,17.121,17.322
197,432,445,17.67,16.37,,,-256.10000000000014,-0.07357102433503115,432,445,13,,17.598000000000003,17.561999999999998,17.322,17.808
-196,445,471,16.37,16.99,,,-121.5199999999995,-0.037874160048869676,445,471,26,,17.561999999999998,16.589999999999996,17.808,16.500999999999998
181,471,480,16.99,15.85,,,-206.33999999999978,-0.06709829311359616,471,480,9,,16.589999999999996,16.102,16.500999999999998,16.308
-180,480,542,15.85,13.38,,,444.5999999999998,0.1558359621451103,480,542,62,,16.102,13.404,16.308,13.255
246,542,561,13.38,14.09,,,174.65999999999977,0.0530642750373691,542,561,19,,13.404,14.193000000000001,13.255,14.3175
-245,561,595,14.09,12.86,,,301.3500000000001,0.08729595457771477,561,595,34,,14.193000000000001,12.84,14.3175,12.768
291,595,614,12.86,11.77,,,-317.18999999999994,-0.0847589424572317,595,614,19,,12.84,12.645,12.768,12.8565
-290,614,642,11.77,11.15,,,179.79999999999978,0.05267629566694976,614,642,28,,12.645,11.120000000000001,12.8565,11.0645
321,642,664,11.15,10.75,,,-128.40000000000012,-0.0358744394618834,642,664,22,,11.120000000000001,11.186,11.0645,11.257000000000001
-319,664,694,10.75,10.61,,,44.66000000000018,0.013023255813953583,664,694,30,,11.186,9.827,11.257000000000001,9.6695
327,694,723,10.61,11.74,,,369.5100000000003,0.10650329877474096,694,723,29,,9.827,11.78,9.6695,11.879999999999999
-325,723,730,11.74,13.15,,,-458.25000000000006,-0.12010221465076665,723,730,7,,11.78,12.120999999999999,11.879999999999999,12.024
254,730,750,13.15,12.76,,,-99.06000000000014,-0.02965779467680607,730,750,20,,12.120999999999999,13.277000000000001,12.024,13.4335
-253,750,767,12.76,13.05,,,-73.37000000000023,-0.022727272727272707,750,767,17,,13.277000000000001,12.754999999999999,13.4335,12.702000000000002
241,767,771,13.05,11.75,,,-313.3000000000002,-0.09961685823754796,767,771,4,,12.754999999999999,12.508,12.702000000000002,12.562000000000001
-240,771,799,11.75,11.65,,,23.999999999999915,0.008510638297872353,771,799,28,,12.508,11.459999999999999,12.562000000000001,11.434999999999999
243,799,804,11.65,10.81,,,-204.11999999999998,-0.07210300429184546,799,804,5,,11.459999999999999,11.298,11.434999999999999,11.3235
-242,804,812,10.81,11.57,,,-183.91999999999996,-0.07030527289546717,804,812,8,,11.298,11.486,11.3235,11.425
210,812,820,11.57,10.95,,,-130.20000000000022,-0.053586862575626726,812,820,8,,11.486,11.234,11.425,11.3055
-209,820,861,10.95,10.37,,,121.22000000000001,0.05296803652968041,820,861,41,,11.234,10.353,11.3055,10.3395
231,861,881,10.37,10.6,,,53.130000000000095,0.022179363548698205,861,881,20,,10.353,10.83,10.3395,10.97
-230,881,900,10.6,10.39,,,48.299999999999784,0.01981132075471692,881,900,19,,10.83,10.376,10.97,10.3435
239,900,903,10.39,10.24,,,-35.85000000000009,-0.014436958614052031,900,903,3,,10.376,10.297,10.3435,10.326
-238,903,974,10.24,8.27,,,468.8600000000001,0.1923828125000001,903,974,71,,10.297,8.259,10.326,8.2455
350,974,980,8.27,8.23,,,-13.999999999999702,-0.004836759371221189,974,980,6,,8.259,8.231,8.2455,8.233500000000001
-349,980,988,8.23,8.51,,,-97.71999999999977,-0.03402187120291611,980,988,8,,8.231,8.325999999999999,8.233500000000001,8.281
325,988,1017,8.51,9.59,,,351.0,0.12690951821386598,988,1017,29,,8.325999999999999,9.443999999999999,8.281,9.481
-323,1017,1026,9.59,9.55,,,12.919999999999725,0.004171011470281427,1017,1026,9,,9.443999999999999,9.524000000000001,9.481,9.4785
325,1026,1036,9.55,9.11,,,-143.00000000000043,-0.04607329842931951,1026,1036,10,,9.524000000000001,9.428,9.4785,9.475999999999999
-323,1036,1045,9.11,9.63,,,-167.96000000000043,-0.05708013172338111,1036,1045,9,,9.428,9.586000000000002,9.475999999999999,9.517
287,1045,1072,9.63,9.96,,,94.71000000000002,0.034267912772585785,1045,1072,27,,9.586000000000002,10.156,9.517,10.222999999999999
-286,1072,1091,9.96,10.01,,,-14.299999999999695,-0.005020080321284981,1072,1091,19,,10.156,9.921,10.222999999999999,9.8985
282,1091,1111,10.01,9.97,,,-11.27999999999976,-0.003996003996003861,1091,1111,20,,9.921,9.902999999999999,9.8985,9.946
-281,1111,1125,9.97,10.09,,,-33.71999999999978,-0.012036108324974926,1111,1125,14,,9.902999999999999,9.894,9.946,9.8595
273,1125,1138,10.09,9.61,,,-131.0400000000001,-0.04757185332011893,1125,1138,13,,9.894,9.822999999999999,9.8595,9.928
-272,1138,1150,9.61,11.37,,,-478.7199999999999,-0.1831425598335068,1138,1150,12,,9.822999999999999,10.236999999999998,9.928,9.9765
187,1150,1168,11.37,11.33,,,-7.4799999999998406,-0.0035180299032541162,1150,1168,18,,10.236999999999998,11.684000000000001,9.9765,11.783000000000001
-186,1168,1181,11.33,11.75,,,-78.11999999999999,-0.03706972639011474,1168,1181,13,,11.684000000000001,11.633999999999999,11.783000000000001,11.604000000000001
172,1181,1186,11.75,11.18,,,-98.04000000000005,-0.04851063829787239,1181,1186,5,,11.633999999999999,11.498000000000001,11.604000000000001,11.527
-171,1186,1197,11.18,11.79,,,-104.3099999999999,-0.054561717352414885,1186,1197,11,,11.498000000000001,11.535,11.527,11.5055
153,1197,1217,11.79,11.5,,,-44.36999999999987,-0.024597116200169578,1197,1217,20,,11.535,11.599999999999998,11.5055,11.644
-152,1217,1237,11.5,11.49,,,1.5199999999999676,0.0008695652173912327,1217,1237,20,,11.599999999999998,11.424,11.644,11.389
152,1237,1253,11.49,11.66,,,25.83999999999999,0.014795474325500324,1237,1253,16,,11.424,11.571,11.389,11.5895
-151,1253,1257,11.66,11.82,,,-24.16000000000002,-0.013722126929674117,1253,1257,4,,11.571,11.684000000000001,11.5895,11.6585
147,1257,1266,11.82,11.37,,,-66.15000000000016,-0.038071065989847774,1257,1266,9,,11.684000000000001,11.497,11.6585,11.5685
